title,news,summary
(1010 추가) 현재까지 확인된 오류 안내.txt, 현재까지 확인된 오류를 안내드립니다. 오류 항목별로 수정까지 다소 시간이 소요될 수 있습니다. 내용을 참고하시어 게임 이용을 부탁드립니다. 확인된 오류 안내 10/5 추가 간헐적으로 첫출근 가이드 미션 이벤트 중 지역 랭크 달성 관련 미션이 완료되지 않는 현상 대운동회 모델 룸의 가구 목록 중 일부 가구의 획득 장소가 물질 합성으로 표시되는 현상 ㄴ 대상 가구 대운동회 응원 스탠드 대운동회 기구 보관함 대운동회 트로피 진열대 대운동회 휴식 텐트 안내드린 가구는 9월 26일화 업데이트 기준 물질 합성으로 획득이 가능하지 않습니다. 10/10 수정 완료 조력자를 편성하여 종합전술시험 진행 시 전투 종료 후 서버 요청 실패 관련 팝업이 발생하는 현상 타이틀로 이동 후 재진입 시 시험 결과가 정상적으로 반영됩니다. 10/10화 무중단 패치를 통해 수정되었습니다. 관련 공지 바로가기 9/27 수정 완료 전술대회 지형이 야외 2구역으로 변경된 현상 전술대회 지형은 시가지 2구역으로 변경될 예정이며 상세한 변경 일정은 별도 공지를 통해 안내드리겠습니다. 9/27수 임시 점검을 통해 수정되었으며 지형 변경 오류 현상에 대한 별도 보상은 공지를 통해 확인 부탁드립니다. 관련 공지 바로가기 9/26 추가 픽업 모집 시 신규 획득 학생이 엘레프로 표시되는 현상 단순 표시 오류로 게임 종료 후 재접속 시 모집으로 획득하신 신규 학생으로 정상 지급됩니다. 모집 내역에 대해 확인이 필요하신 경우 게임 내 고객센터를 통해 11 문의를 접수해 주시면 순차적으로 안내드리겠습니다. 9/26 추가 웹뷰 이벤트 흥신소 68과 새전함의 기적 이벤트 참여 시 특제 신년 복주머니 아이템이 정상적으로 지급되지 않는 현상 특제 신년 복주머니 아이템이 온타임 보상으로 변경되었습니다. 관련 공지 바로가기 9/27 수정 완료 장비 아이템 일괄 성장 시 간헐적으로 게임이 멈추는 현상 게임 종료 후 재접속 시 정상적으로 장비 아이템 성장이 적용됩니다. 원활한 환경에서 플레이하실 수 있도록 최선을 다하겠습니다.,첫 출근 가이드 미션 이벤트 중 지역 랭크 달성 관련 미션이 완료되지 않는 현상과 대운동회 모델 룸의 가구 목록 중 일부 가구의 획득 장소가 물질 합성으로 표시되는 현상은 해결 되었습니다. 대상 가구 대운동회 응원 스탠드 대운동회 기구 보관함 대운동회 트로피 진열대 대운동회 휴식 텐트는 9월 26일화 업데이트 기준 물질 합성으로 획득이 불가능합니다. 조력자를 편성하여 종합전술시험 진행 시 전투 종료 후 서버 요청 실패 관련 팝업이 발생하는 현상 타이틀로 이동 후 재진입 시 시험 결과가 정상적으로 반영됩니다 전술대회 지형은 시가지 2구역으로 변경될 예정 추가 픽업 모집 시 신규 획득 학생이 엘레프로 표시되는 현상은 재접속 시 모집으로 획득하신 신규 학생으로 정상 지급됩니다 흥신소 68과 새전함의 기적 이벤트 참여 시 특제 신년 복주머니 아이템이 정상적으로 지급되지 않는 현상 특제 신년 복주머니 아이템이 온타임 보상으로 변경되었습니다 장비 아이템 일괄 성장 시 간헐적으로 게임이 멈추는 현상 게임 종료 후 재접속 시 정상적으로 장비 아이템 성장이 적용됩니다
(113 추가 안내) ‘사운드 아카이브 디 오케스트라’ 티켓 예매 사전 안내.txt, 11/3 추가 사운드 아카이브 디 오케스트라의 특별 선물 수령처가 변경되었습니다. 공연을 관람하시는 선생님께서는 행사 시작 전 특별 선물 수령처를 확인하시어 방문해 주세요 많은 선생님께서 기다려주신 사운드 아카이브 디 오케스트라의 티켓 예매에 대해 사전 안내드립니다. 본 음악회는 11월 5일일 세종문화회관에서 진행되며 10월 13일금 오후 4시부터 예매가 시작될 예정으로 선생님의 많은 기대와 관심을 부탁드립니다 이 외 자세한 내용은 아래 안내드리는 내용을 꼭 참고해 주세요 사운드 아카이브 디 오케스트라 티켓 예매 사전 안내 음악회 진행 일시 및 장소 일시 1회차 11월 5일일 오후 3시 / 2회차 11월 5일일 오후 7시 장소 세종문화회관 대극장 티켓 예매 일정 및 예매처 안내 예매 일정 10월 13일금 오후 4시 예매 사이트 1 인터파크 티켓 상세 예매 링크클릭 시 바로가기 2 세종문화회관 상세 예매 링크클릭 시 바로가기 티켓은 각 예매처 간 잔여 좌석이 실시간 연동되는 동시 예매 시스템으로 오픈됩니다. 예시 세종문화회관 홈페이지에서 11B 좌석이 매진되었다면 인터파크 티켓에서도 11B 좌석이 매진으로 표시됩니다. 안내드린 상세 예매 링크에서 10월 13일금 오후 4시에 예매하기 버튼이 활성화 됩니다. 유의사항 행사 관련 세부 내용 및 일정은 추후 변경될 수 있으므로 지속 확인해 주시기를 부탁드립니다. 공지 수정 내역 11/2 추가 사운드 아카이브 디 오케스트라의 특별 선물 정보가 추가되었습니다 특별 선물은 공연 전에만 수령이 가능하니 추가 안내드리는 내용을 꼭 확인해 주세요.,사운드 아카이브 디 오케스트라의 특별 선물 수령처가 변경되었습니다 공연을 관람하시는 선생님께서는 행사 시작 전 특별 선물 수령처를 확인해주세요 본 음악회는 11월 5일일 세종문화회관에서 진행되며 10월 13일금 오후 4시부터 예매가 시작될 예정입니다 1회차 11월 5일일 오후 3시 2회차 11월 5일일 오후 7시 장소 세종문화회관 대극장 티켓 예매 일정 및 예매처 안내 예매 일정 10월 13일금 오후 4시 예매 사이트 티켓은 각 예매처 간 잔여 좌석이 실시간 연동되는 동시 예매 시스템으로 오픈됩니다 예시 세종문화회관 홈페이지에서 11B 좌석이 매진되었다면 인터파크 티켓에서도 11B 좌석이 매진으로 표시됩니다 안내드린 상세 예매 링크에서 10월 13일금 오후 4시에 예매하기 버튼이 활성화 됩니다 사운드 아카이브 디 오케스트라의 특별 선물 정보가 추가되었습니다. 특별 선물은 공연 전에만 수령이 가능합니다.
(327 추가) 블루 아카이브 1.5주년 페스티벌 사전 안내.txt, 선생님 블루 아카이브의 1.5주년 페스티벌에 함께해 주세요 5월 20일토 일산 KINTEX에서 블루 아카이브 1.5주년 페스티벌이 진행됩니다. 많은 선생님께서 궁금해하셨던 2차 창작 행사에 대해서도 자세히 안내해 드릴게요 블루 아카이브 1.5주년 페스티벌 사전 안내 행사 일시 및 장소 일시 5월 20일토 오전 10시 오후 6시 장소 일산 KINTEX 1전시장 2홀 행사 내용 블루 아카이브 1.5주년 페스티벌 참가를 위한 티켓 판매는 4월 중 진행될 예정입니다. 운영 및 진행 예정 사항은 행사 상황에 따라 일부 변경될 수 있으며 자세한 사항은 티켓 예매 오픈 시점에 안내드리겠습니다. 블루 아카이브 2차 창작 이벤트 관련 안내 무엇보다 정말 많은 선생님들께서 지원해 주셔서 진심으로 감사한 마음을 전합니다 지난 2/22수 공지로 안내드린 모집 공지를 통해 총 430분의 금손 선생님께서 행사 참여에 지원해 주셨습니다. 이에 지원해 주신 모든 선생님들의 작품과 기획안도 면밀히 검토하여 1차 부스 선정을 완료하였는데요. 블루 아카이브 2차 창작 행사 금손 선생님을 모집합니다 공지 바로가기 1차 부스 모집에 선정되신 선생님께는 3/27월부터 신청서에 기재해 주신 이메일 주소로 참가 안내와 자세한 가이드를 전달해 드릴 예정이니 꼭 메일 확인을 부탁드립니다. 메일 수령 여부 확인을 위해 별도의 유선 연락이 진행될 수 있습니다. 추가 3/27월 오후 1시 기준 1차 부스 모집에 선정되신 선생님께 메일 발송이 완료되었습니다. 아쉽게도 이번 행사장에는 수용 공간 한계가 있어 제한된 인원으로 선정된 점 양해를 부탁드리며 앞으로도 블루 아카이브와 함께할 다양한 행사에 대해 많은 애정과 관심 부탁드립니다. 감사합니다.,5월 20일 토 일산 KINTEX에서 블루 아카이브 페스티벌이 진행됩니다 5월 20일 토 오전 10시 오후 6시 장소 일산 KINTEX 1전시장 2홀 행사 내용 블루 아카이브 페스티벌 참가를 위한 티켓 판매는 4월 중 진행될 예정입니다 1차 부스 모집에 선정되신 선생님께 메일 발송이 완료되었습니다.
(420 추가) 1.5주년 페스티벌 티켓 예매 사전 안내.txt, 4/20 추가 4월 20일목 오후 4시 7분 기준 1.5주년 페스티벌 티켓이 모두 소진되었습니다. 보다 많은 선생님을 행사장에 모시지 못하게 된 점 양해 부탁드립니다. 5월 20일토 오전 10시부터 오후 7시까지 일산 킨텍스에서 진행되는 블루 아카이브 1.5주년 페스티벌의 티켓 예매에 대해 사전 안내 드립니다. 그럼 일산 킨텍스에서 만나요 1.5주년 페스티벌 티켓 예매 사전 안내 예매 일정 4월 20일목 오후 4시 5월 19일금 오후 5시까지 예매 사이트 티켓링크 홈페이지 https//www.ticketlink.co.kr/product/43624 유의사항 행사 관련 세부 내용 및 일정은 추후 변경될 수 있으므로 지속 확인해 주시기를 부탁드립니다., 페스티벌 티켓이 모두 소진되었습니다
(수정) StartDash ★3 확정 모집 안내.txt, 2023년 9월 26일화 점검 후 StartDash 3 확정 모집 기간 및 StartDash 3 확정 모집 티켓 사용 기한이 무기한으로 변경되었습니다. 9월 6일화 점검 후부터 StartDash 3 확정 모집이 시작됩니다. StartDash 3 확정 모집 StartDash 3 확정 모집 기간에 StartDash 3 확정 모집 티켓을 사용하시면 StartDash 3 확정 모집 10회를 이용할 수 있습니다. 계정 생성 시점에 따라 티켓 판매/유효 기간과 모집 기간에 차이가 있으며 유효 기간이 지난 티켓은 사용할 수 없습니다. 유효 기간이 지나 사용 불가한 티켓에 대해서는 청약철회가 불가능합니다. 계정 생성 시점에 따라 티켓 판매 기간이 상이할 수 있습니다. 청약 철회는 구매일로부터 7일 이내 우편함에서 수령하지 않은 경우 가능합니다. StartDash 3 확정 모집 티켓을 통해 획득할 수 있는 학생 리스트 확정 모집 기간 내 StartDash 3 확정 모집 티켓 사용 시 19회차 모집에서는 19회차표 내 학생을 확률에 따라 획득할 수 있으며 10회차 모집에서는 10회차표 내 학생 중 1명을 확정으로 획득하실 수 있습니다. 학생 획득 확률 정보는 인게임 모집 StartDash 3 확정 모집 좌측 하단의 확률정보에서 확인 부탁드립니다. StartDash 3 확정 모집 티켓 사용 후 학생 중복 획득 시 엘레프/엘리그마 획득량 유의사항 StartDash 3 확정 모집에서는 모집 포인트를 획득할 수 없습니다.,StartDash 3 확정 모집 기간 및 StartDash 3 확정 모집 티켓 사용 기한이 무기한으로 변경되었습니다 유효 기간이 지나 사용 불가한 티켓에 대해서는 청약철회가 불가능합니다  StartDash 3 확정 모집 티켓을 통해 획득할 수 있는 학생 리스트 확정 모집 기간 내 StartDash 3 확정 모집 티켓 사용 시 19회차 모집에서는 19회차표 내 학생을 확률에 따라 획득할 수 있으며 10회차 모집에서는 10회차표 내 학생 중 1명을 확정으로 획득하실 수 있습니다 StartDash 3 확정 모집에서는 모집 포인트를 획득할 수 없습니다
(수정) 넥슨 지스타2022 참가 소식 안내.txt, 넥슨 지스타2022 참가 소식을 전달 드립니다. 4년만에 돌아온 넥슨은 2022 넥슨 지스타 귀환歸還 이라는 슬로건으로 PC와 모바일을 넘어 콘솔 플랫폼까지 확장하며 게임 콘텐츠를 넘어 또다른 문화영화 콘텐츠를 선보일 예정입니다. 게임 시연 및 현장 이벤트 등 넥슨 지스타2022 부스를 방문해주실 방문객 분들을 위해 많은 준비를 하였으니 관심과 기대 부탁드립니다. 행사 기간 11월 17일목 11월 20일일 행사 장소 부산 벡스코 지스타2022 넥슨관 행사 내용 넥슨 지스타2022 공식 홈페이지를 통해 상세 정보를 확인하실 수 있습니다. 넥슨 지스타2022 공식 홈페이지 바로가기 공식 홈페이지에서 게임 시연 및 현장 이벤트 등 다양한 소식 확인과 함께 지스타2022 기념 시연 작품 4종의 디지털 굿즈와 함께 온라인 포토카드를 제공합니다. 11월 17일목 오후 중으로 지스타2022 기념 쿠폰 이벤트를 추가 안내 드릴 예정입니다. 추가 블루 아카이브는 지스타2022에 부스로 참가하지 않습니다.,넥슨 지스타2022 참가 소식을 전달 드립니다 행사 기간 11월 17일목 11월 20일일 행사 장소 부산 벡스코 지스타2022 넥슨관 행사 내용 넥슨 지스타2022 공식 홈페이지를 통해 상세 정보를 확인하실 수 있습니다 공식 홈페이지에서 게임 시연 및 현장 이벤트 등 다양한 소식 확인과 함께 지스타2022 기념 시연 작품 4종의 디지털 굿즈와 함께 온라인 포토카드를 제공합니다 11월 17일목 오후 중으로 지스타2022 기념 쿠폰 이벤트를 추가 안내 드릴 예정입니다
(수정) 현재까지 확인된 오류 안내.txt, 현재까지 확인된 오류를 안내 드립니다. 오류 항목 별로 수정까지 다소 시간이 소요될 수 있습니다. 내용을 참고하시어 게임 이용을 부탁드립니다. 확인된 오류 안내 비나시가전의 보스 데이터 적용 오류로 체감 난이도 하향 및 획득 점수가 낮아진 현상 총력전 비나시가전에 적용된 보스 데이터에 오류가 있는 것으로 확인되었습니다. 정상 사양보다 낮은 수치의 데이터가 설정되어 점수 또한 다소 낮게 획득되지만 수정을 할 경우 수정 전/후 총력전 클리어의 형평성 차이가 발생할 수 있기에 별도 수정은 진행되지 않을 예정입니다. 이후 진행되는 비나시가전 총력전에서는 정상 사양을 적용할 예정인 점 참고 부탁드립니다. 5/17화 점검 이후 모집 3 확정 탭이 보이는 현상 기존에 3성 확정 모집을 완료하여 탭이 사라졌던 선생님을 포함해 모든 선생님께 해당 탭이 보이는 현상으로 3성 확정 모집 종료 기간인 5/24화 낮 12시 이후 해당 탭이 사라집니다. 원활한 환경에서 플레이하실 수 있도록 최선을 다하겠습니다.,비나시가전의 보스 데이터 적용 오류로 체감 난이도 하향 및 획득 점수가 낮아진 현상 총력전 비나시가전에 적용된 보스 데이터에 오류가 있는 것으로 확인되었습니다 정상 사양보다 낮은 수치의 데이터가 설정되어 점수 또한 다소 낮게 획득되지만 수정을 할 경우 수정 전후 총력전 클리어의 형평성 차이가 발생할 수 있기에 별도 수정은 진행되지 않을 예정입니다 이후 진행되는 비나시가전 총력전에서는 정상 사양을 적용할 예정인 점 참고 부탁드립니다 모집 3 확정 탭이 보이는 현상 기존에 3성 확정 모집을 완료하여 탭이 사라졌던 선생님을 포함해 모든 선생님께 해당 탭이 보이는 현상으로 3성 확정 모집 종료 기간인 낮 12시 이후 해당 탭이 사라집니다
(완료) 106(목) 임시점검 후 일부 패키지 상품 구성품 지급 관련 안내.txt, 10/6목 임시점검을 통해 애플 앱스토어 인앱결제 가격 변경 및 그에 따른 블루 아카이브 상품의 구성품이 일부 변경되었습니다. 이 과정에서 임시점검 전 구매하신 패키지를 임시점검 이후 개봉하신 경우 변경 후 구성품으로 지급되는 현상이 확인되어 안내드립니다. 조사 결과 문제가 있었던 패키지는 하프 월간 청휘석 패키지와 2주 AP 패키지며 이 외 상품은 구매 및 개봉 시기와 관계없이 정상적으로 구성품이 지급되는 것으로 확인하였습니다. 이에 대상 상품에 대해 구매 가격과 다르게 구성품을 획득하신 선생님께 아래와 같이 아이템을 추가 지급해 드릴 예정입니다. 일부 패키지 상품 구성품 지급 안내 지급 대상 10/6목 임시점검 전 하프 월간 청휘석 패키지 2주 AP 패키지를 구매한 선생님 중 10/6목 임시점검 후 패키지를 개봉하신 선생님 지급 아이템 구매한 패키지 수량 1개 당 청휘석 20개 지급 일시 10월 내 우편함을 통해 순차적으로 지급될 예정입니다 10월 26일수 오후 4시부터 순차 지급 완료되었습니다. 우편함에서 불편을 드려 죄송합니다.라는 제목으로 확인하실 수 있습니다. 게임 이용 및 상품 구매에 혼란을 드려 죄송합니다.,
(완료) 118(화) iOS 기종 최신버전 업데이트 방법 안내.txt, 11/9수 오전 7시 추가 현재 iOS 기종에서도 정상적으로 자동 최신 버전 업데이트가 가능합니다. 현재 iOS 기종에서 기존 버전으로 게임 접속 시 자동 최신 버전 업데이트가 진행 되지 않는 현상이 확인되어 안내드립니다. 해당 현상은 확인 중에 있으며 확인이 완료되기 전까지 앱스토어 내에서 블루 아카이브를 검색하신 후 직접 업데이트를 진행해주시기를 부탁드리겠습니다. 애플 앱스토어 지금 최신버전 업데이트 하기 앱 업데이트 버튼은 순차적으로 노출되고 있으며 기기에 따라 업데이트 버튼이 늦게 노출될 수 있습니다. 만일 업데이트 버튼이 보이지 않으신다면 마켓 캐시 삭제 혹은 단말기 재부팅 후 확인 부탁드립니다. 원활한 환경에서 플레이 하실 수 있도록 최선을 다하겠습니다.,11월 9일 오전 7시 추가 현재 iOS 기종에서도 정상적으로 자동 최신 버전 업데이트가 가능합니다 애플 앱스토어 지금 최신버전 업데이트 하기 앱 업데이트 버튼은 순차적으로 노출되고 있으며 기기에 따라 업데이트 버튼이 늦게 노출될 수 있습니다 만일 업데이트 버튼이 보이지 않으신다면 마켓 캐시 삭제 혹은 단말기 재부팅 후 확인 부탁드립니다
(완료) 216(목) 일부 기기 게임 접속 불가 현상 안내.txt, 일부 기기 게임 접속 불가 현상 관련 추가 안내 드립니다. 2/17금 오전 0시 20분경 게임 접속 불가 현상이 정상화 되었으며 게임을 완전히 종료 후 재접속 시 현재는 게임을 정상적으로 이용하실 수 있습니다. 더욱 원활한 환경에서 게임을 이용하실 수 있도록 노력하겠습니다. 2/16목 앱 업데이트 이후 일부 기기에서 게임 접속이 가능하지 않은 현상이 확인되어 안내 드립니다. 현재 원인 파악을 진행하고 있으며 확인이 완료되는 대로 본 공지를 통해 추가 안내 드리겠습니다. 게임 이용에 불편을 드려 죄송합니다.,일부 기기 게임 접속 불가 현상 관련 추가 안내 드립니다 오전 0시 20분경 게임 접속 불가 현상이 정상화 되었으며 게임을 완전히 종료 후 재접속 시 현재는 게임을 정상적으로 이용하실 수 있습니다 더욱 원활한 환경에서 게임을 이용하실 수 있도록 노력하겠습니다 216목 앱 업데이트 이후 일부 기기에서 게임 접속이 가능하지 않은 현상이 확인되었습니다
